N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
157,롯데정밀화학,"59,500",700,+1.19%,"5,000","15,351","25,800",19.82,"52,777",3.13,30.43,
158,TIGER CD금리투자KIS(합성),"51,300",5,+0.01%,0,"15,350","29,922",0.00,"126,366",N/A,N/A,
159,대성홀딩스,"95,000","1,600",+1.71%,"1,000","15,285","16,089",4.00,"33,774",66.62,3.61,
160,서울가스,"302,500","3,500",+1.17%,"5,000","15,125","5,000",3.15,"19,313",74.75,0.80,
161,KODEX 200TR,"9,715",5,+0.05%,0,"15,039","154,800",0.09,"63,644",N/A,N/A,
162,KODEX 단기채권PLUS,"104,225",15,+0.01%,0,"14,726","14,129",0.00,"688,052",N/A,N/A,
163,SK케미칼,"82,900",200,+0.24%,"5,000","14,608","17,621",17.13,"33,789",11.04,11.19,
164,LS ELECTRIC,"48,350",150,+0.31%,"5,000","14,505","30,000",12.58,"43,410",15.69,5.86,
165,효성첨단소재,"323,500","4,000",+1.25%,"5,000","14,493","4,480",6.05,"15,788",6.18,54.69,
166,JB금융지주,"7,280",50,+0.69%,"5,000","14,340","196,983",27.01,"157,056",2.62,12.80,
167,녹십자,"120,000",0,0.00%,"5,000","14,024","11,687",22.85,"17,971",11.24,10.30,
168,DL이앤씨,"35,600",500,-1.39%,"5,000","13,775","38,694",23.18,"107,110",2.92,N/A,
169,한전KPS,"30,600",150,-0.49%,200,"13,770","45,000",5.95,"118,835",20.31,9.12,
170,TIGER 미국테크TOP10 INDXX,"9,980",275,-2.68%,0,"13,378","134,050",0.21,"626,250",N/A,N/A,
171,두산,"79,900","1,300",+1.65%,"5,000","13,203","16,524",5.36,"162,529",-16.10,11.08,
172,KODEX 2차전지산업,"19,340",555,+2.95%,0,"13,054","67,500",0.16,"1,425,257",N/A,N/A,
173,TIGER 미국필라델피아반도체나스닥,"8,455",315,-3.59%,0,"12,945","153,100",0.43,"1,649,282",N/A,N/A,
174,에스엘,"27,850",200,-0.71%,500,"12,936","46,449",16.63,"191,852",12.69,6.63,
175,롯데칠성,"139,000","1,000",+0.72%,500,"12,898","9,279",12.74,"25,634",8.48,9.96,
176,효성티앤씨,"294,500","2,000",+0.68%,"5,000","12,745","4,328",9.90,"12,332",2.61,76.22,
177,동원시스템즈,"43,400","1,350",-3.02%,"5,000","12,582","28,991",13.19,"12,383",27.07,6.95,
178,현대백화점,"53,700",300,-0.56%,"5,000","12,567","23,402",22.69,"56,838",5.88,4.36,
179,TIGER 2차전지테마,"18,315",595,+3.36%,0,"12,390","67,650",0.11,"873,852",N/A,N/A,
180,DL,"58,700",100,+0.17%,"5,000","12,301","20,956",9.37,"29,147",7.90,26.52,
181,대덕전자,"24,750",350,-1.39%,500,"12,231","49,417",19.29,"308,915",9.61,9.55,
182,DGB금융지주,"7,210",110,+1.55%,"5,000","12,195","169,146",45.65,"327,791",2.39,9.63,
183,한미반도체,"12,300",150,+1.23%,100,"12,167","98,920",5.29,"263,962",10.78,34.59,
184,코오롱인더,"43,950",200,+0.46%,"5,000","12,095","27,519",17.48,"80,525",6.97,8.20,
185,KODEX 종합채권(AA-이상)액티브,"98,500",50,-0.05%,0,"12,012","12,195",0.01,"6,409",N/A,N/A,
186,롯데제과,"126,000","2,000",+1.61%,500,"11,888","9,435",14.62,"8,327",24.47,2.88,
187,현대일렉트릭,"32,200","1,100",-3.30%,"5,000","11,607","36,047",10.87,"342,275",-24.30,-5.08,
188,영풍,"630,000","5,000",-0.79%,"5,000","11,605","1,842",3.83,"1,777",6.48,3.66,
189,대웅,"19,850",50,+0.25%,500,"11,541","58,142",4.55,"28,156",10.24,11.13,
190,후성,"12,400",200,+1.64%,500,"11,483","92,607",8.28,"864,226",15.40,9.61,
191,한국앤컴퍼니,"11,900",250,-2.06%,500,"11,297","94,935",9.19,"105,236",5.00,5.53,
192,삼천리,"272,500",0,0.00%,"5,000","11,050","4,055",14.53,"37,739",14.71,4.52,
193,동국제강,"11,550",200,+1.76%,"5,000","11,022","95,433",22.92,"340,328",1.39,23.41,
194,금양,"18,800",150,+0.80%,500,"10,913","58,050",1.22,"5,843,479",60.65,13.57,
195,일진하이솔루스,"30,050",350,-1.15%,500,"10,912","36,313",1.31,"40,294",122.15,4.97,
196,롯데렌탈,"29,750",450,+1.54%,"5,000","10,899","36,634",4.75,"23,111",7.29,12.28,
197,신풍제약,"20,200",200,+1.00%,500,"10,703","52,985",6.22,"204,351",-47.75,-3.19,
198,솔루스첨단소재,"30,150",900,+3.08%,100,"10,586","35,111",5.97,"81,393",135.20,4.00,
199,KODEX 단기채권,"103,885",25,+0.02%,0,"10,348","9,961",0.49,"12,661",N/A,N/A,
200,SK가스,"111,500","1,000",-0.89%,"5,000","10,292","9,230",4.94,"3,638",4.39,12.41,
